4 [DEBUG   ] [reader] [READER] >> Set Baudrate
2026-09-03 22:14:45 [INFO    ] [reader] [READER] Baudrate set OK (921600)
2026-09-03 22:14:45 [INFO    ] [reader] [READER] Connecting at 921600
2026-09-03 22:14:46 [INFO    ] [reader] [READER] Connecting at 115200
2026-09-03 22:14:46 [INFO    ] [reader] [READER] Application mode @ 115200
2026-09-03 22:14:46 [WARNING ] [reader] [READER] Reader at non-target baud 115200, will be corrected on next set_baudrate()
2026-09-03 22:14:48 [INFO    ] [reader] [READER] Module SOFTWARE/FIRMWARE VERSION = 2025.07.14 rev1  (chip=E710 antenna_ports=8 region=FCC hw_rev=0 bootloader=22021100 compiled=2025.07.14 protocol=00000010 raw_fw=25071401)
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] rssi_threshold=-95dBm -> RSSI filter ENABLED at module level (0xAA5B): module itself will not upload reads weaker than -95dBm (they never cross the serial link at all) -> CMD=FF12AA4D6F64756C6574656368AA5B01AAA10051BB1EB9
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] q_mode=dynamic -> CMD=FF039B051200CEE8 (module's own default)
2026-09-03 22:14:48 [INFO    ] [reader] [AUTO-TUNE] scan_timeout=12.0s antenna_count=5 passes_target=3 -> dwell_ms=800 (ideal=800.0) one_cycle=4.00s quiet_stop=10.00s (2.50 cycles) passes_achieved=3.00
2026-09-03 22:14:48 [INFO    ] [reader] [CONFIG] scan_timeout=12s quiet_stop=10.0s stable_threshold=0 rssi=-95(module-level 0xAA5B) prefix=('8600',) power=30dBm antenna_allowed=[1, 2, 3, 4, 5] dwell_ms=800 auto_tune=True inventory_mode=AA48 q=dynamic min_reads_per_scan=1 min_native_read_count=1 rssi_strict=-95dBm(if count<10)
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET REGION: SUCCESS
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET GEN2: SUCCESS
2026-09-03 22:14:48 [DEBUG   ] [reader] [READER] SET POWER: SUCCESS
2026-09-03 22:14:49 [DEBUG   ] [reader] [READER] SET RSSI FILTER (0xAA5B): SUCCESS
2026-09-03 22:14:49 [DEBUG   ] [reader] [READER] ENABLE ANT: SUCCESS
2026-09-03 22:14:49 [WARNING ] [reader] [READER] SET ANTENNA DWELL: STATUS=0500 RAW=ff0095050052dc
2026-09-03 22:14:49 [WARNING ] [reader] [SCAN] SET ANTENNA DWELL not confirmed - module may fall back to its own 4000ms/antenna default, which can make round-robin timing less predictable within scan_timeout.
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET RFMODE: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET SESSION 1: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET TARGET AB: SUCCESS
2026-09-03 22:14:50 [DEBUG   ] [reader] [READER] SET Q (dynamic): SUCCESS
2026-09-03 22:14:51 [INFO    ] [reader] [SCAN] Setup took 3.16s (region/gen2/power/antenna/dwell/rfmode/session/target/q/start-async) - scan clock reset here, scan_timeout=12s now means 12s of actual listening time.
2026-09-03 22:14:51 [INFO    ] [reader] [SCAN] Started (AA48) - max=12s quiet=10.0s dwell_ms=800 antenna_gate_open=True
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #001 EPC:860015332900000000001E92 RSSI:-48 NativeRC:1 Rate:881.7/s Total:1 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #002 EPC:860015332900000000002F12 RSSI:-38 NativeRC:1 Rate:1763.4/s Total:2 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #003 EPC:860015332900000000002EE6 RSSI:-44 NativeRC:1 Rate:2645.1/s Total:3 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #004 EPC:860015332900000000002EC5 RSSI:-49 NativeRC:1 Rate:3526.8/s Total:4 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #005 EPC:860015332900000000002F07 RSSI:-43 NativeRC:1 Rate:4408.6/s Total:5 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #006 EPC:860015332900000000002EC1 RSSI:-42 NativeRC:1 Rate:5290.3/s Total:6 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #007 EPC:860015332900000000002F06 RSSI:-43 NativeRC:1 Rate:6172.0/s Total:7 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #008 EPC:860015332900000000002F14 RSSI:-34 NativeRC:1 Rate:7053.7/s Total:8 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #009 EPC:860015332900000000002F11 RSSI:-39 NativeRC:1 Rate:7935.4/s Total:9 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #010 EPC:860015332900000000002EBF RSSI:-44 NativeRC:1 Rate:8817.1/s Total:10 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #011 EPC:860015332900000000000408 RSSI:-28 NativeRC:1 Rate:9698.8/s Total:11 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #012 EPC:860015332900000000002ED1 RSSI:-39 NativeRC:1 Rate:10580.5/s Total:12 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #013 EPC:860015332900000000002ECD RSSI:-43 NativeRC:1 Rate:11462.3/s Total:13 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #014 EPC:860015332900000000002EDD RSSI:-34 NativeRC:1 Rate:12344.0/s Total:14 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #015 EPC:860015332900000000002F1A RSSI:-48 NativeRC:1 Rate:13225.7/s Total:15 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #016 EPC:860015332900000000001EA6 RSSI:-51 NativeRC:1 Rate:14107.4/s Total:16 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #017 EPC:860015332900000000002ED8 RSSI:-41 NativeRC:1 Rate:14989.1/s Total:17 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #018 EPC:8600153329000000000003EB RSSI:-45 NativeRC:1 Rate:15870.8/s Total:18 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #019 EPC:860015332900000000002EE1 RSSI:-41 NativeRC:1 Rate:16752.5/s Total:19 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #020 EPC:860015332900000000002F0D RSSI:-36 NativeRC:1 Rate:17634.2/s Total:20 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #021 EPC:860015332900000000002EAD RSSI:-55 NativeRC:1 Rate:18516.0/s Total:21 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #022 EPC:860015332900000000002EA3 RSSI:-50 NativeRC:1 Rate:19397.7/s Total:22 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #023 EPC:860015332900000000002EC9 RSSI:-44 NativeRC:1 Rate:20279.4/s Total:23 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #024 EPC:860015332900000000002EE8 RSSI:-41 NativeRC:1 Rate:21161.1/s Total:24 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #025 EPC:860015332900000000002EF4 RSSI:-37 NativeRC:1 Rate:22042.8/s Total:25 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #026 EPC:860015332900000000002F04 RSSI:-40 NativeRC:1 Rate:22924.5/s Total:26 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #027 EPC:860015332900000000002F17 RSSI:-39 NativeRC:1 Rate:23806.2/s Total:27 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #028 EPC:860015332900000000002EC2 RSSI:-36 NativeRC:1 Rate:24687.9/s Total:28 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #029 EPC:860015332900000000002EE4 RSSI:-43 NativeRC:1 Rate:25569.6/s Total:29 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #030 EPC:860015332900000000002F15 RSSI:-40 NativeRC:1 Rate:26451.4/s Total:30 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #031 EPC:860015332900000000001E8D RSSI:-54 NativeRC:1 Rate:27333.1/s Total:31 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #032 EPC:86001533290000000000038F RSSI:-41 NativeRC:1 Rate:28214.8/s Total:32 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #033 EPC:860015332900000000001EAF RSSI:-51 NativeRC:1 Rate:29096.5/s Total:33 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #034 EPC:860015332900000000002EFB RSSI:-56 NativeRC:1 Rate:29978.2/s Total:34 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #035 EPC:860015332900000000002EF8 RSSI:-44 NativeRC:1 Rate:30859.9/s Total:35 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #036 EPC:860015332900000000001E95 RSSI:-54 NativeRC:1 Rate:31741.6/s Total:36 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #037 EPC:860015332900000000002EF5 RSSI:-41 NativeRC:1 Rate:32623.3/s Total:37 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #038 EPC:860015332900000000002EDA RSSI:-36 NativeRC:1 Rate:33505.1/s Total:38 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #039 EPC:860015332900000000002EB6 RSSI:-58 NativeRC:1 Rate:34386.8/s Total:39 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #040 EPC:860015332900000000001ED8 RSSI:-60 NativeRC:1 Rate:35268.5/s Total:40 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #041 EPC:860015332900000000002EFA RSSI:-52 NativeRC:1 Rate:36150.2/s Total:41 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #042 EPC:860015332900000000002F0A RSSI:-43 NativeRC:1 Rate:37031.9/s Total:42 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #043 EPC:860015332900000000002EBD RSSI:-51 NativeRC:1 Rate:37913.6/s Total:43 Dup:1.0x
2026-09-03 22:14:51 [INFO    ] [reader] [0.0s] ANT1 NEW #044 EPC:860015332900000000000407 RSSI:-48 NativeRC:1 Rate:38795.3/s Total:44 Dup:1.0x
